Head Lines,Sentiment_Hammad,Sentiment_Stemming,Sentiment_sopwords,Sentiment_posRemoval,Sentiment_allfeatures
ECC approves utilization of CPPs' capacity sans payment ,Positive,Neutral,Neutral,Neutral,Neutral
Coal imports expected to surge manifolds as CPEC projects coming online ,Positive,Neutral,Neutral,Neutral,Neutral
"Renault to roll out car assembling in Pakistan by 2018 with 50,000 unit capacity ",Positive,Neutral,Neutral,Neutral,Neutral
Ministry Finance releases Rs26bn sales tax refunds ,Positive,Neutral,Neutral,Neutral,Neutral
Govt rasied Rs292bn vs target of Rs250bn in T-bill auction yesterday with 3M/6M yields increasing by 4bps ,Positive,Neutral,Neutral,Neutral,Neutral
The government is considering borrowing $500mn from the international market through issuance of Sukuk Bonds against Islamabad Lahore Motorway ,Positive,Neutral,Neutral,Neutral,Neutral
NRL new plant tie-in and revamping of existing plant due in Mar?17,Positive,Neutral,Neutral,Neutral,Neutral
FBR exempted customs duty on the import of 13 items including cotton and polypropylene,Positive,Neutral,Neutral,Neutral,Neutral
PR to transport coal from Port Qasim to Sahiwal by Jan-end,Positive,Neutral,Neutral,Neutral,Neutral
"$4.1bn aid received in 1HFY17, 51% of budgeted",Positive,Neutral,Neutral,Neutral,Neutral
Bike sales soar amid falling kit imports ,Positive,Neutral,Neutral,Neutral,Neutral
Scheme of amalgamation approved by MCB shareholdersÿÿ ,Positive,Neutral,Neutral,Neutral,Neutral
Financing for fixed investment swell by $71bn in 1HFY17 ,Positive,Neutral,Neutral,Neutral,Neutral
NML PA joins hands with Hyundai to set up car plant ,Positive,Neutral,Neutral,Neutral,Neutral
FFBL inaugurates 118MW coal power plant ,Positive,Neutral,Neutral,Neutral,Neutral
"SNGPL PA to install 20,000 gas meters, lay down 450km pipelines in 2017 ",Positive,Neutral,Neutral,Neutral,Neutral
Qater led consortium to build 750mmcfd LNG re-gasification unit by 2018,Positive,Neutral,Neutral,Neutral,Neutral
ADB grant $325m loan for clean energy for Punjab & KPK,Positive,Neutral,Neutral,Neutral,Neutral
PwC report says Pakistan could become the 16th largest economy by 2050 ,Positive,Neutral,Neutral,Neutral,Neutral
Rs180bn export package notified ,Positive,Neutral,Neutral,Neutral,Neutral
Discovery of 195bpd & 5.6mmcfd at Mardankhel-3,Positive,Neutral,Neutral,Neutral,Neutral
1HFY17 LSM grew by 3.9% YoY ,Positive,Neutral,Neutral,Neutral,Neutral
HUBC 660MW power plant upgraded to CPEC priority list ,Positive,Neutral,Neutral,Neutral,Neutral
PSX to launch derivative product within 5-6mths ,Positive,Neutral,Neutral,Neutral,Neutral
Hascol to invest US$20mn to set up new plant ,Positive,Neutral,Neutral,Neutral,Neutral
NTC notifies anti-dumping duty of 5-59% on wall and floor tiles ,Positive,Neutral,Neutral,Neutral,Neutral
KP govt signs 1000MW solar power project with Canadian Firm,Positive,Neutral,Neutral,Neutral,Neutral
WAPDA finalises main contracts for Dasu Hydropower Project,Positive,Neutral,Neutral,Neutral,Neutral
FBR exempts export sectors from sales tax on fuel supply ,Positive,Neutral,Neutral,Neutral,Neutral
KEL inks 50MW solar power purchase agreement ,Positive,Neutral,Neutral,Neutral,Neutral
GSP plus to remain intact till Dec-23 ,Positive,Neutral,Neutral,Neutral,Neutral
SBP says urea export quota to be allocated on first-come-first-serve basis ,Positive,Neutral,Neutral,Neutral,Neutral
NTC imposes final anti-dumping duty against imports of cotton yarn ,Positive,Neutral,Neutral,Neutral,Neutral
Chinese truck makers eye Pakistan as roads and market expand,Positive,Neutral,Neutral,Neutral,Neutral
Debt of state-owned companies grows 36pc ,Positive,Neutral,Neutral,Neutral,Neutral
Pakistan gets access to high-quality solar energy maps ,Positive,Neutral,Neutral,Neutral,Neutral
Auto parts export to Vietnam begins ,Positive,Neutral,Neutral,Neutral,Neutral
PPIB calls power producers to settle payment row,Positive,Neutral,Neutral,Neutral,Neutral
KE's average tariff cut by Rs3.50 for seven years,Positive,Neutral,Neutral,Neutral,Neutral
Hub coal plant construction kicks off today,Positive,Neutral,Neutral,Neutral,Neutral
SSGC ready to distribute RLNG,Positive,Neutral,Neutral,Neutral,Neutral
"Mar-17 CPI at 4.9% vs 4.2% in Feb, Mkt con. 4.9%",Positive,Neutral,Neutral,Neutral,Neutral
SC grants construction of Orange train,Positive,Neutral,Neutral,Neutral,Neutral
"S&P raises Pakistan long term credit rating from B- to B, outlook stable ",Positive,Neutral,Neutral,Neutral,Neutral
PIA eyes fleet of 60 aircraft by 2020 ,Positive,Neutral,Neutral,Neutral,Neutral
