Head Lines,Sentiment,Stemmed,StopWords Removed,PosRemoval,stemming_posRemoval,PosRemoval_stemming,Stopwords_stemming,Pos_StopWords,StopWords_Pos,Stemming_StopWords,All Features
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",-1," Barclays , Credit Suisse strike record deals SEC , NY dark pools"," barclay , credit suiss strike record deal with sec , NY over dark pool", deals, deal, dark," barclay , credit suiss strike record deal sec , NY dark pool", deals, deals," barclay , credit suiss strike record deal sec , NY dark pool",
UPDATE 1-Shire takes Q2 earnings pain for long-term gain,0, UPDATE 1-Shire takes Q2 earnings pain long-term gain, updat 1-shire take Q2 earn pain for long-term gain, UPDATE 1-Shire takes long-term, updat 1-shire take long-term, updat 1-shire earn long-term, updat 1-shire take Q2 earn pain long-term gain, UPDATE 1-Shire takes long-term, UPDATE 1-Shire takes long-term, updat 1-shire take Q2 earn pain long-term gain, updat 1-shire earn long-term
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,1, Drugmaker Shire buy Baxalta $ 32 billion 6-month pursuit, drugmak shire to buy baxalta for $ 32 billion after 6-month pursuit, buy 6-month, buy 6-month, buy 6-month, drugmak shire buy baxalta $ 32 billion 6-month pursuit, buy 6-month, buy 6-month, drugmak shire buy baxalta $ 32 billion 6-month pursuit, buy baxalta 6-month
Standard Chartered considering move from UK,0, Standard Chartered considering move UK, standard charter consid move from UK, considering, consid, standard, standard charter consid move UK, considering, considering, standard charter consid move UK, standard
Philippines San Miguel says to partner with Kirin if it bids for SABMillers ...,0, Philippines San Miguel says partner Kirin bids SABMillers ..., philippin san miguel say to partner with kirin if it bid for sabmil ..., says bids, say bid, san say bid, philippin san miguel say partner kirin bid sabmil ..., says bids, says bids, philippin san miguel say partner kirin bid sabmil ..., san say
US cancels Arctic offshore lease sale after Shell drops interest,0, US cancels Arctic offshore lease sale Shell drops interest, US cancel arctic offshor leas sale after shell drop interest, lease drops, leas drop, cancel arctic, US cancel arctic offshor leas sale shell drop interest, lease drops, lease drops, US cancel arctic offshor leas sale shell drop interest, cancel arctic leas
Shire CEO steps up drive to get Baxalta board talking,0, Shire CEO steps drive get Baxalta board talking, shire ceo step up drive to get baxalta board talk, steps get talking, step get talk, up get baxalta, shire ceo step drive get baxalta board talk, steps drive talking, steps get talking, shire ceo step drive get baxalta board talk, ceo baxalta
UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,0, UPDATE 1-Oil major BP freezes pay 2015 cut costs, updat 1-oil major BP freez pay in 2015 to cut cost, 1-Oil major freezes cut, 1-oil major freez cut, updat 1-oil major cut, updat 1-oil major BP freez pay 2015 cut cost, 1-Oil major freezes, 1-Oil major freezes cut, updat 1-oil major BP freez pay 2015 cut cost, updat 1-oil major
Brazil Vale says will appeal ruling to block assets for dam burst,0, Brazil Vale says appeal ruling block assets dam burst, brazil vale say will appeal rule to block asset for dam burst, says appeal block, say appeal block, brazil say appeal block, brazil vale say appeal rule block asset dam burst, says ruling dam, says appeal block, brazil vale say appeal rule block asset dam burst, brazil say appeal
"BHP Billiton posts big loss, slashes dividend",-1," BHP Billiton posts big loss , slashes dividend"," bhp billiton post big loss , slash dividend", posts big, post big, big slash," bhp billiton post big loss , slash dividend", posts big, posts big," bhp billiton post big loss , slash dividend", big slash
Reaching New Depths: Glencores $5bn Loss,-1, Reaching New Depths : Glencores $ 5bn Loss, reach new depth : glencor $ 5bn loss, Reaching Glencores, reach glencor, reach new glencor, reach new depth : glencor $ 5bn loss, Reaching Glencores, Reaching Glencores, reach new depth : glencor $ 5bn loss, reach new glencor
UPDATE 2-EasyJet sees better first half on lower fuel bill,1, UPDATE 2-EasyJet sees better first half lower fuel bill, updat 2-easyjet see better first half on lower fuel bill, 2-EasyJet better first lower, 2-easyjet better first lower, updat 2-easyjet better first lower, updat 2-easyjet see better first half lower fuel bill, 2-EasyJet better first lower, 2-EasyJet better first lower, updat 2-easyjet see better first half lower fuel bill, updat 2-easyjet better first lower
Britains FTSE advances as Royal Mail rises,1, Britains FTSE advances Royal Mail rises, britain ftse advanc as royal mail rise,,, ftse royal, britain ftse advanc royal mail rise,,, britain ftse advanc royal mail rise, ftse
CompaniesTesco sheds Harris & Hoole coffee shops,0, CompaniesTesco sheds Harris & Hoole coffee shops, companiestesco shed harri & hool coffe shop,,, shed, companiestesco shed harri & hool coffe shop,,, companiestesco shed harri & hool coffe shop, shed
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,1, News FeedFTSE 100 movers : Standard Chartered lifted AstraZeneca sinks, new feedfts 100 mover : standard charter lift while astrazeneca sink, lifted, lift, new standard, new feedfts 100 mover : standard charter lift astrazeneca sink, lifted, lifted, new feedfts 100 mover : standard charter lift astrazeneca sink, new standard
Fitch: Citis 1Q15 Reports Much Improved Results,1, Fitch : Citis 1Q15 Reports Much Improved Results, fitch : citi 1q15 report much improv result, Much Improved, much improv, citi much, fitch : citi 1q15 report much improv result, Much Improved, Much Improved, fitch : citi 1q15 report much improv result, citi much
Landlord Hammersons NAV rises on increased leasing activity,1, Landlord Hammersons NAV rises increased leasing activity, landlord hammerson nav rise on increas leas activ, rises increased, rise increas, nav activ, landlord hammerson nav rise increas leas activ, rises increased, rises increased, landlord hammerson nav rise increas leas activ, nav leas
New Morrisons duo get former bosss support to diffuse investor tension,0, New Morrisons duo get former bosss support diffuse investor tension, new morrison duo get former bosss support to diffus investor tension, get former diffuse, get former diffus, new get former diffus, new morrison duo get former bosss support diffus investor tension, get former, get former diffuse, new morrison duo get former bosss support diffus investor tension, new get former
WPP Q1 Revenue Rises Over 8% - Quick Facts,1, WPP Q1 Revenue Rises Over 8 % - Quick Facts, wpp Q1 revenu rise over 8 % - quick fact, Quick, quick, quick, wpp Q1 revenu rise 8 % - quick fact, Quick, Quick, wpp Q1 revenu rise over 8 % - quick fact, quick
Barclays raises 603 million pounds from African business share sale,1, Barclays raises 603 million pounds African business share sale, barclay rais 603 million pound from african busi share sale, raises, rais, rais african, barclay rais 603 million pound african busi share sale, raises African, raises, barclay rais 603 million pound african busi share sale, rais african
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,-1, REFILE-Aviva Investors move 34 bln euros assets AXA fund arm, refile-aviva investor to move 34 bln euro in asset from axa fund arm, REFILE-Aviva move, refile-aviva move, refile-aviva move axa, refile-aviva investor move 34 bln euro asset axa fund arm, REFILE-Aviva move, REFILE-Aviva move, refile-aviva investor move 34 bln euro asset axa fund arm, refile-aviva euro
Dividends Unleashed At Royal Bank of Scotland Group plc,1, Dividends Unleashed At Royal Bank Scotland Group plc, dividend unleash At royal bank of scotland group plc, Unleashed plc, unleash plc, royal, dividend unleash At royal bank scotland group plc, Unleashed plc, Unleashed plc, dividend unleash At royal bank scotland group plc, royal
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",0," Irish Said Chasing Standard Chartered , RBS Brexit Vote Nears"," irish said chase standard charter , rb as brexit vote near",,, said chase," irish said chase standard charter , rb brexit vote near",,," irish said chase standard charter , rb brexit vote near", said chase
"EXCLUSIVE-BP, Chinas CNPC to unveil oil alliance - sources",1," EXCLUSIVE-BP , Chinas CNPC unveil oil alliance - sources"," exclusive-bp , china cnpc to unveil oil allianc - sourc", unveil, unveil, exclusive-bp china unveil," exclusive-bp , china cnpc unveil oil allianc - sourc", unveil, unveil," exclusive-bp , china cnpc unveil oil allianc - sourc", exclusive-bp china unveil
RBS and Barclays shares temporarily suspended amid heavily losses,-1, RBS Barclays shares temporarily suspended amid heavily losses, rb and barclay share temporarili suspend amid heavili loss, temporarily suspended heavily, temporarili suspend heavili, temporarili heavili, rb barclay share temporarili suspend amid heavili loss, temporarily suspended heavily, temporarily suspended heavily, rb barclay share temporarili suspend amid heavili loss, temporarili heavili
BP sees Q1 earnings slide as low oil prices take their toll,-1, BP sees Q1 earnings slide low oil prices take toll, BP see Q1 earn slide as low oil price take their toll, sees low take, see low take, see earn low take, BP see Q1 earn slide low oil price take toll, sees slide low take, sees low take, BP see Q1 earn slide low oil price take toll, see earn slide low
Johnson Matthey revs up on clean air drive,0, Johnson Matthey revs clean air drive, johnson matthey rev up on clean air drive, revs clean, rev clean, rev clean, johnson matthey rev clean air drive, revs clean, revs clean, johnson matthey rev clean air drive, rev clean
Tesco boss urges rethink on minimum wage and business rates,0, Tesco boss urges rethink minimum wage business rates, tesco boss urg rethink on minimum wage and busi rate, rethink, rethink, urg, tesco boss urg rethink minimum wage busi rate, rethink minimum, rethink, tesco boss urg rethink minimum wage busi rate, urg
Is It Worth Investing In Tesco PLC And Prudential plc Now?,0, Is It Worth Investing In Tesco PLC And Prudential plc Now ?, Is It worth invest In tesco plc and prudenti plc now ?, Is Worth Investing Now, Is worth invest now, Is worth invest tesco prudenti now, Is It worth invest In tesco plc prudenti plc ?, Is Worth Investing Now, Is Worth Investing Now, Is It worth invest In tesco plc and prudenti plc now ?, Is worth invest tesco prudenti now
RBS will reportedly appoint Howard Davies as its next chairman,0, RBS reportedly appoint Howard Davies next chairman, rb will reportedli appoint howard davi as it next chairman, reportedly appoint next, reportedli appoint next, reportedli appoint, rb reportedli appoint howard davi next chairman, reportedly appoint, reportedly appoint next, rb reportedli appoint howard davi next chairman,
UPDATE 1-Seattle flotilla protests Shells Arctic drilling plans,-1, UPDATE 1-Seattle flotilla protests Shells Arctic drilling plans, updat 1-seattl flotilla protest shell arctic drill plan, 1-Seattle, 1-seattl, updat 1-seattl arctic, updat 1-seattl flotilla protest shell arctic drill plan, 1-Seattle, 1-Seattle, updat 1-seattl flotilla protest shell arctic drill plan, updat 1-seattl arctic
G4S suspends workers at UK youth centre over allegations of unnecessary force,-1, G4S suspends workers UK youth centre allegations unnecessary force, g4 suspend worker at UK youth centr over alleg of unnecessari forc, suspends unnecessary, suspend unnecessari, g4 unnecessari, g4 suspend worker UK youth centr alleg unnecessari forc, suspends youth centre unnecessary, suspends unnecessary, g4 suspend worker UK youth centr alleg unnecessari forc, g4 unnecessari
TalkTalk hires BAE Systems to investigate cyber attack,0, TalkTalk hires BAE Systems investigate cyber attack, talktalk hire bae system to investig cyber attack, hires investigate, hire investig, investig cyber, talktalk hire bae system investig cyber attack, hires investigate, hires investigate, talktalk hire bae system investig cyber attack, investig
Osborne extends Lloyds sell-off plan,-1, Osborne extends Lloyds sell-off plan, osborn extend lloyd sell-off plan, extends, extend, osborn extend lloyd, osborn extend lloyd sell-off plan, extends, extends, osborn extend lloyd sell-off plan, osborn extend lloyd
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-1, UPDATE 1-Dairy Crest loses third Morrisons milk contract, updat 1-dairi crest lose a third of morrison milk contract, 1-Dairy loses third, 1-dairi lose third, updat 1-dairi lose, updat 1-dairi crest lose third morrison milk contract, 1-Dairy loses third, 1-Dairy loses third, updat 1-dairi crest lose third morrison milk contract, updat 1-dairi lose third
CompaniesLord Livingston joins Dixons Carphone,1, CompaniesLord Livingston joins Dixons Carphone, companieslord livingston join dixon carphon, joins, join,, companieslord livingston join dixon carphon, joins, joins, companieslord livingston join dixon carphon,
Tesco names Deloitte as new auditor after accounting scandal,0, Tesco names Deloitte new auditor accounting scandal, tesco name deloitt as new auditor after account scandal, names new accounting, name new account, deloitt new, tesco name deloitt new auditor account scandal, new, names new accounting, tesco name deloitt new auditor account scandal, deloitt new
Worlds banks may halve jobs and branches within 10 years - Barclays ex-boss,-1, Worlds banks may halve jobs branches within 10 years - Barclays ex-boss, world bank may halv job and branch within 10 year - barclay ex-boss, halve Barclays, halv barclay, halv, world bank may halv job branch within 10 year - barclay ex-boss, halve Barclays, halve Barclays, world bank may halv job branch within 10 year - barclay ex-boss, halv
Severn Trent share price rises as first half profit inches up as customer ...,1, Severn Trent share price rises first half profit inches customer ..., severn trent share price rise as first half profit inch up as custom ..., first inches, first inch, severn first up, severn trent share price rise first half profit inch custom ..., first half, first inches, severn trent share price rise first half profit inch custom ..., severn first
Clinigen chosen by AstraZeneca to manage access programme for next ...,1, Clinigen chosen AstraZeneca manage access programme next ..., clinigen chosen by astrazeneca to manag access programm for next ..., chosen manage next, chosen manag next, chosen manag next, clinigen chosen astrazeneca manag access programm next ...,, chosen manage next, clinigen chosen astrazeneca manag access programm next ..., chosen astrazeneca
Valeants Pearson says timing of return uncertain,0, Valeants Pearson says timing return uncertain, valeant pearson say time of return uncertain, says uncertain, say uncertain, valeant say uncertain, valeant pearson say time return uncertain, says timing uncertain, says uncertain, valeant pearson say time return uncertain, valeant say uncertain
Horizonte acquires neighbouring Glencore nickel property in Brazil,0, Horizonte acquires neighbouring Glencore nickel property Brazil, horizont acquir neighbour glencor nickel properti in brazil, acquires neighbouring nickel, acquir neighbour nickel, acquir neighbour, horizont acquir neighbour glencor nickel properti brazil, acquires neighbouring nickel, acquires neighbouring nickel, horizont acquir neighbour glencor nickel properti brazil, acquir neighbour
Indy future in doubt as Johnston Press lines up deal for i,0, Indy future doubt Johnston Press lines deal, indi futur in doubt as johnston press line up deal for i,,,, indi futur doubt johnston press line deal, future,, indi futur doubt johnston press line deal, futur
Glaxos ViiV Healthcare Signs China Manufacturing Deal With Desano,0, Glaxos ViiV Healthcare Signs China Manufacturing Deal With Desano, glaxo viiv healthcar sign china manufactur deal with desano,,,, glaxo viiv healthcar sign china manufactur deal desano,,, glaxo viiv healthcar sign china manufactur deal with desano,
"BHP Billiton half-year profit falls, beats forecasts",0," BHP Billiton half-year profit falls , beats forecasts"," bhp billiton half-year profit fall , beat forecast", half-year, half-year, bhp half-year," bhp billiton half-year profit fall , beat forecast", half-year, half-year," bhp billiton half-year profit fall , beat forecast", bhp half-year
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,0, Royal Dutch Shell Buy BG Group Nearly $ 70 Billion, royal dutch shell to buy BG group for nearli $ 70 billion,,, royal buy nearli, royal dutch shell buy BG group nearli $ 70 billion,,, royal dutch shell buy BG group nearli $ 70 billion, royal buy nearli
Barclays to speed up cost-cuts after new mis-selling hit,0, Barclays speed cost-cuts new mis-selling hit, barclay to speed up cost-cut after new mis-sel hit, speed new, speed new, speed new, barclay speed cost-cut new mis-sel hit, speed cost-cuts new, speed new, barclay speed cost-cut new mis-sel hit, speed cost-cut new
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",0," CEOs BPM , UBI meet Italy econ minister M & A talk heats"," ceo of bpm , ubi meet itali econ minist as M & A talk heat up", econ heats, econ heat, ubi itali econ," ceo bpm , ubi meet itali econ minist M & A talk heat", econ, econ heats," ceo bpm , ubi meet itali econ minist M & A talk heat", ubi itali econ
HSBC Hit by Fresh Details of Tax Evasion Claims,-1, HSBC Hit Fresh Details Tax Evasion Claims, hsbc hit by fresh detail of tax evas claim,,, hit fresh, hsbc hit fresh detail tax evas claim,,, hsbc hit fresh detail tax evas claim, hit fresh
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",0," CaixaBank , dos Santos Agree Plan BPI Angola Exposure"," caixabank , do santo agre on plan for bpi angola exposur",,, do santo agre bpi," caixabank , santo agre plan bpi angola exposur",,," caixabank , do santo agre plan bpi angola exposur", do santo bpi
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",0," BPI Says Caixabank , Isabel dos Santos Reach Agreement Over Angola Exposure"," bpi say caixabank , isabel do santo reach agreement over angola exposur", dos, do, say do santo reach," bpi say caixabank , isabel santo reach agreement angola exposur", dos, dos," bpi say caixabank , isabel do santo reach agreement over angola exposur", say do santo reach
Wolseley says Nicholls wont join as finance chief,0, Wolseley says Nicholls wont join finance chief, wolseley say nichol wont join as financ chief, says, say, say nichol wont, wolseley say nichol wont join financ chief, says, says, wolseley say nichol wont join financ chief, say nichol wont
UK lawmakers warn Royal Mail against further price hikes,0, UK lawmakers warn Royal Mail price hikes, UK lawmak warn royal mail against further price hike, UK warn further, UK warn further, lawmak warn royal further, UK lawmak warn royal mail price hike, UK warn, UK warn, UK lawmak warn royal mail price hike, lawmak warn royal
StanChart and RBS struggle in Bank of England stress tests,-1, StanChart RBS struggle Bank England stress tests, stanchart and rb struggl in bank of england stress test,,,, stanchart rb struggl bank england stress test, struggle,, stanchart rb struggl bank england stress test, struggl
StanChart may see white knight takeover on painful recovery - CLSA,0, StanChart may see white knight takeover painful recovery - CLSA, stanchart may see white knight takeov on pain recoveri - clsa, see white knight painful, see white knight pain, see white, stanchart may see white knight takeov pain recoveri - clsa, see white knight painful, see white knight painful, stanchart may see white knight takeov pain recoveri - clsa, see white
AstraZeneca suffers setback after drug fails to treat eye cancer,-1, AstraZeneca suffers setback drug fails treat eye cancer, astrazeneca suffer setback after drug fail to treat eye cancer, setback treat, setback treat, treat, astrazeneca suffer setback drug fail treat eye cancer, setback fails, setback treat, astrazeneca suffer setback drug fail treat eye cancer, suffer setback fail
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,-1, News FeedFTSE 100 movers : Standard Chartered lifted AstraZeneca sinks, new feedfts 100 mover : standard charter lift while astrazeneca sink, lifted, lift, new standard, new feedfts 100 mover : standard charter lift astrazeneca sink, lifted, lifted, new feedfts 100 mover : standard charter lift astrazeneca sink, new standard
Retail giant Kingfisher reports solid start to the year,1, Retail giant Kingfisher reports solid start year, retail giant kingfish report solid start to the year, Retail solid, retail solid, retail giant kingfish solid start, retail giant kingfish report solid start year, Retail solid start, Retail solid, retail giant kingfish report solid start year, retail giant kingfish solid start
Unilever Continues to Battle Soft Demand,0, Unilever Continues Battle Soft Demand, unilev continu to battl soft demand, Unilever, unilev, unilev battl soft, unilev continu battl soft demand,, Unilever, unilev continu battl soft demand, unilev soft
Fresnillo Production Surges But Profit Hit By Lower Prices,0, Fresnillo Production Surges But Profit Hit By Lower Prices, fresnillo product surg but profit hit By lower price, Lower, lower, fresnillo lower, fresnillo product surg profit hit By lower price, Lower, Lower, fresnillo product surg but profit hit By lower price, fresnillo lower
Helge Lund moves to BG a month early,0, Helge Lund moves BG month early, helg lund move to BG a month earli, moves BG early, move BG earli,, helg lund move BG month earli, moves early, moves BG early, helg lund move BG month earli,
"Tesco set to sell Kipa, Giraffe businesses - Sky News",0," Tesco set sell Kipa , Giraffe businesses - Sky News"," tesco set to sell kipa , giraff busi - ski new", set sell, set sell, set sell ski new," tesco set sell kipa , giraff busi - ski new", set, set sell," tesco set sell kipa , giraff busi - ski new", set ski new
